	Absolute way	Class	Num_class	Image_width	Image_hight	Number_of_chanel	Number_of_pixels
163	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0164.jpg	tiger	0	200	400	3	240000
164	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0165.jpg	tiger	0	200	400	3	240000
165	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0166.jpg	tiger	0	200	400	3	240000
166	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0167.jpg	tiger	0	200	400	3	240000
167	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0168.jpg	tiger	0	200	400	3	240000
176	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0177.jpg	tiger	0	320	400	3	384000
189	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0190.jpg	tiger	0	320	253	3	242880
198	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0199.jpg	tiger	0	200	400	3	240000
199	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0200.jpg	tiger	0	200	400	3	240000
200	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0201.jpg	tiger	0	200	400	3	240000
201	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0202.jpg	tiger	0	200	400	3	240000
202	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0203.jpg	tiger	0	200	400	3	240000
203	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0204.jpg	tiger	0	200	400	3	240000
204	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0205.jpg	tiger	0	200	400	3	240000
205	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0206.jpg	tiger	0	200	400	3	240000
206	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0207.jpg	tiger	0	200	400	3	240000
207	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0208.jpg	tiger	0	200	400	3	240000
208	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0209.jpg	tiger	0	200	400	3	240000
209	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0210.jpg	tiger	0	200	400	3	240000
240	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0241.jpg	tiger	0	200	400	3	240000
241	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0242.jpg	tiger	0	200	400	3	240000
242	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0243.jpg	tiger	0	200	400	3	240000
243	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0244.jpg	tiger	0	200	400	3	240000
244	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0245.jpg	tiger	0	200	400	3	240000
245	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0246.jpg	tiger	0	200	400	3	240000
246	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0247.jpg	tiger	0	200	400	3	240000
247	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0248.jpg	tiger	0	200	400	3	240000
248	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0249.jpg	tiger	0	200	400	3	240000
249	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0250.jpg	tiger	0	200	400	3	240000
250	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0251.jpg	tiger	0	200	400	3	240000
251	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0252.jpg	tiger	0	200	400	3	240000
258	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0259.jpg	tiger	0	320	399	3	383040
279	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0280.jpg	tiger	0	320	320	3	307200
282	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0283.jpg	tiger	0	200	400	3	240000
283	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0284.jpg	tiger	0	200	400	3	240000
284	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0285.jpg	tiger	0	200	400	3	240000
285	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0286.jpg	tiger	0	200	400	3	240000
286	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0287.jpg	tiger	0	200	400	3	240000
287	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0288.jpg	tiger	0	200	400	3	240000
288	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0289.jpg	tiger	0	200	400	3	240000
289	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0290.jpg	tiger	0	200	400	3	240000
290	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0291.jpg	tiger	0	200	400	3	240000
291	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0292.jpg	tiger	0	200	400	3	240000
292	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0293.jpg	tiger	0	200	400	3	240000
293	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0294.jpg	tiger	0	200	400	3	240000
322	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0323.jpg	tiger	0	320	387	3	371520
324	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0325.jpg	tiger	0	200	400	3	240000
325	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0326.jpg	tiger	0	200	400	3	240000
326	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0327.jpg	tiger	0	200	400	3	240000
327	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0328.jpg	tiger	0	200	400	3	240000
328	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0329.jpg	tiger	0	200	400	3	240000
329	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0330.jpg	tiger	0	200	400	3	240000
330	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0331.jpg	tiger	0	200	400	3	240000
331	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0332.jpg	tiger	0	200	400	3	240000
332	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0333.jpg	tiger	0	200	400	3	240000
333	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0334.jpg	tiger	0	200	400	3	240000
334	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0335.jpg	tiger	0	200	400	3	240000
335	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0336.jpg	tiger	0	200	400	3	240000
359	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0360.jpg	tiger	0	320	277	3	265920
366	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0367.jpg	tiger	0	200	400	3	240000
367	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0368.jpg	tiger	0	200	400	3	240000
368	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0369.jpg	tiger	0	200	400	3	240000
369	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0370.jpg	tiger	0	200	400	3	240000
370	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0371.jpg	tiger	0	200	400	3	240000
371	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0372.jpg	tiger	0	200	400	3	240000
372	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0373.jpg	tiger	0	200	400	3	240000
373	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0374.jpg	tiger	0	200	400	3	240000
374	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0375.jpg	tiger	0	200	400	3	240000
375	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0376.jpg	tiger	0	200	400	3	240000
376	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0377.jpg	tiger	0	200	400	3	240000
377	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0378.jpg	tiger	0	200	400	3	240000
399	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0400.jpg	tiger	0	320	332	3	318720
408	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0409.jpg	tiger	0	200	400	3	240000
409	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0410.jpg	tiger	0	200	400	3	240000
410	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0411.jpg	tiger	0	200	400	3	240000
411	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0412.jpg	tiger	0	200	400	3	240000
412	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0413.jpg	tiger	0	200	400	3	240000
413	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0414.jpg	tiger	0	200	400	3	240000
414	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0415.jpg	tiger	0	200	400	3	240000
415	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0416.jpg	tiger	0	200	400	3	240000
416	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0417.jpg	tiger	0	200	400	3	240000
417	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0418.jpg	tiger	0	200	400	3	240000
418	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0419.jpg	tiger	0	200	400	3	240000
419	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0420.jpg	tiger	0	200	400	3	240000
448	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0449.jpg	tiger	0	320	213	3	204480
450	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0451.jpg	tiger	0	200	400	3	240000
451	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0452.jpg	tiger	0	200	400	3	240000
452	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0453.jpg	tiger	0	200	400	3	240000
453	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0454.jpg	tiger	0	200	400	3	240000
454	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0455.jpg	tiger	0	200	400	3	240000
455	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0456.jpg	tiger	0	200	400	3	240000
456	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0457.jpg	tiger	0	200	400	3	240000
457	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0458.jpg	tiger	0	200	400	3	240000
458	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0459.jpg	tiger	0	200	400	3	240000
459	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0460.jpg	tiger	0	200	400	3	240000
460	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0461.jpg	tiger	0	200	400	3	240000
461	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0462.jpg	tiger	0	200	400	3	240000
483	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0484.jpg	tiger	0	320	286	3	274560
491	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0492.jpg	tiger	0	320	320	3	307200
492	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0493.jpg	tiger	0	200	400	3	240000
493	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0494.jpg	tiger	0	200	400	3	240000
494	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0495.jpg	tiger	0	200	400	3	240000
495	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0496.jpg	tiger	0	200	400	3	240000
496	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0497.jpg	tiger	0	200	400	3	240000
497	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0498.jpg	tiger	0	200	400	3	240000
498	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0499.jpg	tiger	0	200	400	3	240000
499	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0500.jpg	tiger	0	200	400	3	240000
500	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0501.jpg	tiger	0	200	400	3	240000
501	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0502.jpg	tiger	0	200	400	3	240000
502	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0503.jpg	tiger	0	200	400	3	240000
503	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0504.jpg	tiger	0	200	400	3	240000
506	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0507.jpg	tiger	0	320	320	3	307200
511	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0512.jpg	tiger	0	320	320	3	307200
514	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0515.jpg	tiger	0	320	256	3	245760
522	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0523.jpg	tiger	0	320	377	3	361920
534	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0535.jpg	tiger	0	200	400	3	240000
535	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0536.jpg	tiger	0	200	400	3	240000
536	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0537.jpg	tiger	0	200	400	3	240000
537	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0538.jpg	tiger	0	200	400	3	240000
538	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0539.jpg	tiger	0	200	400	3	240000
539	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0540.jpg	tiger	0	200	400	3	240000
540	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0541.jpg	tiger	0	200	400	3	240000
541	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0542.jpg	tiger	0	200	400	3	240000
542	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0543.jpg	tiger	0	200	400	3	240000
543	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0544.jpg	tiger	0	200	400	3	240000
544	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0545.jpg	tiger	0	200	400	3	240000
545	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0546.jpg	tiger	0	200	400	3	240000
550	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0551.jpg	tiger	0	320	249	3	239040
553	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0554.jpg	tiger	0	320	400	3	384000
555	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0556.jpg	tiger	0	320	240	3	230400
564	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0565.jpg	tiger	0	320	213	3	204480
572	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0573.jpg	tiger	0	320	260	3	249600
576	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0577.jpg	tiger	0	200	400	3	240000
577	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0578.jpg	tiger	0	200	400	3	240000
578	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0579.jpg	tiger	0	200	400	3	240000
579	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0580.jpg	tiger	0	200	400	3	240000
580	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0581.jpg	tiger	0	200	400	3	240000
581	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0582.jpg	tiger	0	200	400	3	240000
582	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0583.jpg	tiger	0	200	400	3	240000
583	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0584.jpg	tiger	0	200	400	3	240000
584	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0585.jpg	tiger	0	200	400	3	240000
585	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0586.jpg	tiger	0	200	400	3	240000
586	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0587.jpg	tiger	0	200	400	3	240000
587	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0588.jpg	tiger	0	200	400	3	240000
589	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0590.jpg	tiger	0	320	260	3	249600
601	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0602.jpg	tiger	0	320	320	3	307200
612	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0613.jpg	tiger	0	320	256	3	245760
618	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0619.jpg	tiger	0	200	400	3	240000
619	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0620.jpg	tiger	0	200	400	3	240000
620	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0621.jpg	tiger	0	200	400	3	240000
621	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0622.jpg	tiger	0	200	400	3	240000
622	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0623.jpg	tiger	0	200	400	3	240000
623	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0624.jpg	tiger	0	200	400	3	240000
624	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0625.jpg	tiger	0	200	400	3	240000
625	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0626.jpg	tiger	0	200	400	3	240000
626	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0627.jpg	tiger	0	200	400	3	240000
627	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0628.jpg	tiger	0	200	400	3	240000
628	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0629.jpg	tiger	0	200	400	3	240000
629	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0630.jpg	tiger	0	200	400	3	240000
636	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0637.jpg	tiger	0	320	283	3	271680
641	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0642.jpg	tiger	0	320	213	3	204480
644	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0645.jpg	tiger	0	320	256	3	245760
660	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0661.jpg	tiger	0	200	400	3	240000
661	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0662.jpg	tiger	0	200	400	3	240000
662	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0663.jpg	tiger	0	200	400	3	240000
663	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0664.jpg	tiger	0	200	400	3	240000
664	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0665.jpg	tiger	0	200	400	3	240000
665	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0666.jpg	tiger	0	200	400	3	240000
666	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0667.jpg	tiger	0	200	400	3	240000
667	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0668.jpg	tiger	0	200	400	3	240000
668	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0669.jpg	tiger	0	200	400	3	240000
669	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0670.jpg	tiger	0	200	400	3	240000
670	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0671.jpg	tiger	0	200	400	3	240000
671	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0672.jpg	tiger	0	200	400	3	240000
673	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0674.jpg	tiger	0	320	303	3	290880
680	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0681.jpg	tiger	0	320	320	3	307200
682	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0683.jpg	tiger	0	320	309	3	296640
698	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0699.jpg	tiger	0	320	320	3	307200
702	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0703.jpg	tiger	0	200	400	3	240000
703	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0704.jpg	tiger	0	200	400	3	240000
704	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0705.jpg	tiger	0	200	400	3	240000
705	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0706.jpg	tiger	0	200	400	3	240000
706	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0707.jpg	tiger	0	200	400	3	240000
707	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0708.jpg	tiger	0	200	400	3	240000
708	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0709.jpg	tiger	0	200	400	3	240000
709	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0710.jpg	tiger	0	200	400	3	240000
710	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0711.jpg	tiger	0	200	400	3	240000
711	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0712.jpg	tiger	0	200	400	3	240000
712	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0713.jpg	tiger	0	200	400	3	240000
713	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0714.jpg	tiger	0	200	400	3	240000
726	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0727.jpg	tiger	0	320	242	3	232320
737	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0738.jpg	tiger	0	320	213	3	204480
743	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0744.jpg	tiger	0	320	249	3	239040
744	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0745.jpg	tiger	0	200	400	3	240000
745	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0746.jpg	tiger	0	200	400	3	240000
746	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0747.jpg	tiger	0	200	400	3	240000
747	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0748.jpg	tiger	0	200	400	3	240000
748	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0749.jpg	tiger	0	200	400	3	240000
749	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0750.jpg	tiger	0	200	400	3	240000
750	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0751.jpg	tiger	0	200	400	3	240000
751	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0752.jpg	tiger	0	200	400	3	240000
752	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0753.jpg	tiger	0	200	400	3	240000
753	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0754.jpg	tiger	0	200	400	3	240000
754	/Users/margogusarova/PycharmProjects/python2.1/dataset/tiger/0755.jpg	tiger	0	200	400	3	240000
